CustomerID,Age,Gender,Category,ItemPurchased,Amount,Season,PaymentMethod,ItemRating,DiscountApplied(%),PreviousPurchases
C-5073,53,Male,Sports,Yoga Mat,196.81,Winter,Card,4.4,17,6
C-5074,58,Male,Sports,Yoga Mat,246.49,Autumn,Card,4.5,11,3
C-5075,40,Female,Womens Clothing,Top,124.21,Summer,Card,3,6,3
C-5076,59,Female,Beauty,Skincare Kit,42.8,Winter,Card,3.1,13,4
C-5077,70,Male,Mens Clothing,Shirt,96.18,Autumn,Card,2.7,20,5
C-5078,38,Male,Electronics,Mobile Phone,2888.09,Winter,Card,3.6,8,4
C-5079,62,Female,Accessories,Sunglasses,151.06,Autumn,Card,4.1,20,5
C-5080,35,Female,Accessories,Handbag,141.45,Autumn,Card,5,19,7
C-5081,26,Male,Groceries,Cooking Oil,73.66,Spring,Card,4.7,11,3
C-5082,58,Male,Mens Clothing,Jacket,36.29,Autumn,Card,3.4,6,3
C-5083,45,Male,Footwear,Sandals,208.84,Summer,Card,4.4,18,9
C-5084,58,Female,Womens Clothing,Dress,98.33,Spring,Card,4.1,26,8
C-5085,49,Female,Womens Clothing,Dress,37.16,Summer,Cash on Delivery,3.7,16,3
C-5086,65,Female,Beauty,Makeup Set,41.71,Winter,Card,3.3,19,7
C-5087,22,Female,Beauty,Makeup Set,145.98,Summer,Card,3.5,24,7
C-5088,44,Male,Electronics,Mobile Phone,1643.58,Autumn,Card,3.2,11,3
C-5089,61,Male,Electronics,Laptop,2338.03,Spring,Card,3.8,14,2
C-5090,56,Female,Groceries,Rice Pack,68.84,Summer,Cash on Delivery,5,19,7
C-5091,35,Female,Accessories,Sunglasses,45.66,Spring,Cash on Delivery,4.6,18,4
C-5092,51,Male,Footwear,Sandals,40.24,Winter,Card,3.8,18,4
C-5093,36,Female,Footwear,Sneakers,203.77,Spring,Card,4.4,19,7
C-5094,20,Female,Accessories,Wallet,159.45,Winter,Card,4.6,20,5
C-5095,25,Male,Footwear,Sandals,183.49,Autumn,Card,3.5,20,5
C-5096,21,Male,Mens Clothing,Jacket,76.45,Summer,Card,4.4,12,6
C-5097,20,Female,Accessories,Wallet,54.1,Summer,Card,4.1,16,3
C-5098,65,Female,Accessories,Handbag,41,Autumn,Cash on Delivery,4,10,5
C-5099,39,Female,Footwear,Sneakers,73.77,Spring,Card,3.5,17,6
C-5100,51,Male,Electronics,Smart Watch,2449.63,Autumn,Card,1.9,4,2
C-5101,65,Female,Home,Curtains,86.79,Spring,Cash on Delivery,3.6,12,6
C-5102,58,Female,Womens Clothing,Skirt,64.03,Summer,Card,3.2,13,4
C-5103,50,Female,Footwear,Formal Shoes,171.31,Autumn,Card,5,21,8
C-5104,42,Female,Groceries,Snacks,21.44,Autumn,Card,3.6,19,7
C-5105,60,Male,Mens Clothing,Jacket,145.64,Winter,Card,3.3,2,1
C-5106,50,Female,Footwear,Sneakers,112.65,Spring,Card,3.9,10,5
C-5107,55,Female,Footwear,Formal Shoes,177.55,Summer,Card,4.2,17,6
C-5108,61,Female,Womens Clothing,Skirt,100.22,Summer,Card,3.8,4,2
C-5109,33,Female,Footwear,Formal Shoes,60,Summer,Card,3.3,8,4
C-5110,66,Male,Footwear,Formal Shoes,75.65,Winter,Card,4,14,7
C-5111,66,Male,Electronics,Laptop,2263.46,Autumn,Card,3.8,13,4
C-5112,45,Male,Footwear,Formal Shoes,77.8,Winter,Cash on Delivery,3.2,9,2
C-5113,69,Female,Womens Clothing,Top,84.93,Autumn,Cash on Delivery,4.6,17,6
C-5114,27,Female,Sports,Football,124.84,Spring,Card,3.2,20,10
C-5115,23,Male,Footwear,Formal Shoes,122.71,Summer,Card,3.4,8,4
C-5116,60,Male,Electronics,Mobile Phone,1317.58,Winter,Card,4.2,26,8
C-5117,31,Female,Beauty,Perfume,70.51,Spring,Cash on Delivery,4.2,18,4
C-5118,28,Male,Sports,Yoga Mat,132.82,Autumn,Card,2.9,9,2
C-5119,56,Male,Footwear,Sandals,200.63,Summer,Card,4,18,4
C-5120,34,Female,Womens Clothing,Skirt,47.24,Spring,Cash on Delivery,4.1,15,5
C-5121,37,Female,Footwear,Formal Shoes,65.6,Winter,Cash on Delivery,3.2,15,5
C-5122,63,Female,Accessories,Sunglasses,20.41,Autumn,Cash on Delivery,3.7,17,6
C-5123,35,Male,Electronics,Smart Watch,1187.02,Autumn,Card,3.5,15,5
C-5124,53,Male,Electronics,Mobile Phone,559.1,Autumn,Card,3.4,17,6
C-5125,54,Male,Footwear,Formal Shoes,129.92,Winter,Card,4.2,13,4
C-5126,65,Female,Groceries,Beverages,19.39,Spring,Cash on Delivery,3.4,6,3
C-5127,24,Female,Beauty,Makeup Set,97.07,Autumn,Cash on Delivery,2.4,13,4
C-5128,55,Male,Sports,Dumbbells,70.21,Spring,Cash on Delivery,3.4,18,4
C-5129,64,Male,Sports,Yoga Mat,248.31,Winter,Card,3.7,19,7
C-5130,21,Male,Sports,Football,149.61,Autumn,Card,3.6,21,8
C-5131,66,Male,Home,Lamp,132.77,Spring,Card,3.5,17,6
C-5132,39,Female,Beauty,Makeup Set,37.23,Winter,Card,3.4,14,7
C-5133,53,Female,Footwear,Sneakers,88.84,Summer,Cash on Delivery,1.8,16,3
C-5134,25,Female,Womens Clothing,Top,140.53,Spring,Card,3.9,11,3
C-5135,30,Female,Sports,Football,121.83,Autumn,Card,3.5,16,3
C-5136,23,Male,Electronics,Headphones,1052.01,Autumn,Card,4.1,24,7
C-5137,41,Female,Groceries,Cooking Oil,77.29,Winter,Card,3.9,18,4
C-5138,40,Female,Beauty,Skincare Kit,124.2,Spring,Card,3.1,17,6
C-5139,23,Female,Footwear,Formal Shoes,139.96,Autumn,Card,4.1,18,9
C-5140,59,Male,Footwear,Formal Shoes,121.13,Summer,Card,3.6,10,5
C-5141,56,Female,Groceries,Snacks,58.72,Autumn,Card,2.6,2,1
C-5142,34,Male,Sports,Dumbbells,64.17,Autumn,Card,3,8,4
C-5143,59,Male,Footwear,Formal Shoes,42.19,Spring,Cash on Delivery,3.2,4,2
C-5144,40,Female,Footwear,Formal Shoes,166.4,Autumn,Card,3.8,14,7
C-5145,33,Female,Womens Clothing,Top,76.54,Summer,Card,4.2,6,3
C-5146,68,Female,Womens Clothing,Dress,158.36,Spring,Card,3.6,23,9
C-5147,48,Male,Footwear,Formal Shoes,84.84,Summer,Card,4.7,26,8
C-5148,27,Female,Footwear,Sneakers,195.76,Summer,Card,4,17,6
C-5149,46,Male,Sports,Football,146.21,Summer,Card,3.6,8,4
C-5150,35,Male,Mens Clothing,T-Shirt,115.35,Winter,Card,4.1,13,4
C-5151,57,Male,Sports,Football,31.54,Winter,Cash on Delivery,5,16,3
C-5152,35,Female,Footwear,Formal Shoes,142.19,Spring,Card,3.6,16,3
C-5153,38,Female,Footwear,Formal Shoes,246.21,Autumn,Card,3.1,8,4
C-5154,68,Male,Footwear,Sandals,194.06,Spring,Card,3.8,18,4
C-5155,66,Female,Accessories,Handbag,172.05,Winter,Card,2.5,17,6
C-5156,38,Female,Womens Clothing,Skirt,94.08,Summer,Cash on Delivery,4.1,22,6
C-5157,20,Female,Womens Clothing,Dress,57.01,Summer,Card,3.1,15,5
C-5158,47,Female,Footwear,Formal Shoes,130.07,Spring,Card,3.1,13,4
C-5159,62,Male,Mens Clothing,Shirt,161.22,Autumn,Card,4.7,18,4
C-5160,33,Male,Electronics,Mobile Phone,862.41,Spring,Card,3.5,12,6
C-5161,23,Male,Footwear,Formal Shoes,157.86,Spring,Card,5,13,4
C-5162,25,Female,Beauty,Skincare Kit,142.94,Autumn,Card,4.5,17,6
C-5163,29,Male,Sports,Football,70.31,Summer,Cash on Delivery,3,8,4
C-5164,60,Female,Womens Clothing,Dress,34.62,Summer,Card,4.2,20,5
C-5165,69,Male,Footwear,Sandals,82.79,Summer,Cash on Delivery,5,21,8
C-5166,35,Male,Footwear,Formal Shoes,75.46,Autumn,Card,2.5,16,3
C-5167,49,Female,Accessories,Handbag,148.58,Summer,Card,4.3,26,8
C-5168,52,Female,Womens Clothing,Top,43.5,Autumn,Cash on Delivery,3.4,24,7
C-5169,28,Male,Mens Clothing,Jacket,179.57,Winter,Card,3.2,6,3
C-5170,70,Male,Sports,Football,122.99,Autumn,Card,3.4,10,5
C-5171,53,Female,Footwear,Sandals,76.73,Autumn,Cash on Delivery,5,24,7
C-5172,36,Male,Sports,Football,227.24,Summer,Card,3.4,14,2
C-5173,53,Female,Womens Clothing,Jeans,94.87,Winter,Cash on Delivery,3.6,13,4
C-5174,38,Female,Womens Clothing,Skirt,166.83,Winter,Card,4.1,16,3
C-5175,38,Male,Sports,Yoga Mat,52.06,Winter,Card,2.3,4,2
C-5176,54,Male,Mens Clothing,Shirt,38.18,Winter,Cash on Delivery,3.5,12,6
C-5177,67,Female,Accessories,Wallet,156.91,Summer,Card,3.3,8,4
C-5178,36,Female,Beauty,Skincare Kit,110.28,Spring,Card,3.8,16,3
C-5179,48,Female,Accessories,Wallet,114.67,Winter,Card,3.5,8,4
C-5180,20,Female,Womens Clothing,Top,73.25,Winter,Card,2.5,11,3
C-5181,48,Male,Sports,Yoga Mat,162.43,Summer,Card,3.4,11,3
C-5182,40,Male,Mens Clothing,Jeans,79.89,Summer,Card,4.4,18,4
C-5183,60,Male,Footwear,Formal Shoes,248.49,Autumn,Card,4.2,6,3
C-5184,52,Male,Sports,Yoga Mat,187.31,Winter,Card,4.7,7,1
C-5185,66,Male,Home,Curtains,60.91,Winter,Card,4,8,4
C-5186,60,Female,Accessories,Handbag,21.62,Spring,Cash on Delivery,3.8,19,7
C-5187,36,Male,Footwear,Sandals,142.06,Autumn,Card,3.5,4,2
C-5188,57,Female,Accessories,Wallet,84.62,Autumn,Card,2.8,18,4
C-5189,63,Male,Footwear,Sandals,162.26,Autumn,Card,3.5,12,6
C-5190,38,Male,Mens Clothing,T-Shirt,31.14,Summer,Card,4.4,19,7
C-5191,23,Male,Groceries,Cooking Oil,7.07,Spring,Cash on Delivery,3.7,18,4
C-5192,56,Female,Home,Lamp,157.98,Winter,Card,4.8,10,5
C-5193,51,Female,Beauty,Skincare Kit,82.12,Winter,Card,3.2,13,4
C-5194,65,Male,Sports,Dumbbells,150.48,Winter,Card,3.5,20,5
C-5195,36,Male,Sports,Yoga Mat,153.11,Summer,Card,4,6,3
C-5196,46,Male,Mens Clothing,Shirt,107.94,Spring,Card,3.8,6,3
C-5197,31,Female,Sports,Yoga Mat,245.72,Winter,Card,4.1,20,5
C-5198,70,Female,Beauty,Makeup Set,79.28,Winter,Card,2,12,6
C-5199,68,Male,Footwear,Sandals,225.53,Spring,Card,4.5,13,4
C-5200,29,Female,Beauty,Makeup Set,63.34,Summer,Card,4.5,17,6
C-5201,20,Female,Beauty,Perfume,38.57,Spring,Card,4.6,19,7
C-5202,30,Male,Mens Clothing,T-Shirt,128.1,Summer,Card,3,12,1
C-5203,57,Female,Beauty,Perfume,129.47,Spring,Card,4.4,15,5
C-5204,46,Female,Beauty,Perfume,49.38,Spring,Cash on Delivery,3.4,19,7
C-5205,55,Female,Footwear,Formal Shoes,90.81,Autumn,Card,4.4,24,7
C-5206,68,Male,Groceries,Cooking Oil,63.73,Winter,Card,4.5,24,7
C-5207,62,Male,Mens Clothing,T-Shirt,127.21,Autumn,Card,4.9,14,7
C-5208,29,Male,Groceries,Snacks,54.98,Autumn,Cash on Delivery,2.9,16,8
C-5209,58,Female,Accessories,Sunglasses,37.76,Autumn,Card,3.5,14,2
C-5210,50,Female,Beauty,Makeup Set,81.4,Spring,Cash on Delivery,4.9,20,5
C-5211,22,Female,Footwear,Sneakers,183.26,Winter,Card,2.4,6,3
C-5212,29,Female,Womens Clothing,Jeans,172.51,Autumn,Card,3.8,13,4
C-5213,43,Male,Sports,Yoga Mat,141.78,Winter,Card,2.9,24,7
C-5214,25,Male,Groceries,Rice Pack,62.99,Autumn,Card,2.9,16,3
C-5215,32,Male,Footwear,Sneakers,154.86,Spring,Card,4.1,18,4
C-5216,47,Male,Footwear,Formal Shoes,162.26,Autumn,Card,4,19,7
C-5217,26,Female,Beauty,Makeup Set,60.97,Spring,Card,4.6,21,8
C-5218,69,Female,Groceries,Beverages,52.32,Winter,Cash on Delivery,3.6,10,5
C-5219,25,Female,Womens Clothing,Top,122.97,Autumn,Card,4.3,24,7
C-5220,63,Female,Sports,Dumbbells,245.76,Spring,Card,4,13,4
C-5221,45,Female,Sports,Football,229.28,Autumn,Card,4.9,16,8
C-5222,43,Female,Womens Clothing,Jeans,32.06,Summer,Card,3.5,7,1
C-5223,40,Female,Footwear,Formal Shoes,148.08,Winter,Card,3.7,10,5
C-5224,48,Male,Sports,Football,32.34,Winter,Cash on Delivery,4.1,6,3
C-5225,39,Male,Sports,Football,79.09,Winter,Card,4,8,4
C-5226,23,Male,Sports,Dumbbells,121.19,Autumn,Card,3.2,17,6
C-5227,42,Female,Womens Clothing,Jeans,64.76,Summer,Card,3.7,11,3
C-5228,43,Male,Electronics,Smart Watch,2234.05,Summer,Card,4.2,12,6
C-5229,60,Male,Sports,Yoga Mat,106.49,Summer,Card,3.4,16,3
C-5230,55,Male,Electronics,Headphones,2024.08,Summer,Card,3.2,18,4
C-5231,55,Male,Mens Clothing,Shirt,122.22,Summer,Card,4.1,13,4
C-5232,51,Female,Beauty,Perfume,112.88,Autumn,Card,4.9,22,6
C-5233,58,Male,Footwear,Sandals,66.28,Winter,Cash on Delivery,2.7,6,3
C-5234,22,Male,Sports,Dumbbells,122.95,Autumn,Card,3.1,22,6
C-5235,54,Female,Beauty,Makeup Set,129.63,Spring,Card,5,10,5
C-5236,59,Male,Mens Clothing,Jacket,191.92,Autumn,Card,3.9,21,8
C-5237,22,Female,Accessories,Sunglasses,21.95,Winter,Cash on Delivery,3.6,16,3
C-5238,24,Male,Electronics,Mobile Phone,1117.83,Summer,Card,2.9,13,4
C-5239,58,Female,Footwear,Formal Shoes,194.03,Spring,Card,3,21,8
C-5240,24,Female,Beauty,Makeup Set,111.59,Summer,Card,3.7,8,4
C-5241,35,Female,Womens Clothing,Top,194.65,Autumn,Card,3.6,9,2
C-5242,63,Male,Footwear,Formal Shoes,96.15,Winter,Card,3.2,9,2
C-5243,51,Female,Accessories,Sunglasses,115.63,Winter,Card,2.9,19,7
C-5244,47,Male,Sports,Football,146.95,Spring,Card,5,24,7
C-5245,69,Male,Electronics,Headphones,2517.97,Autumn,Card,4.3,28,9
C-5246,66,Female,Beauty,Makeup Set,55.2,Summer,Card,3.6,11,3
C-5247,35,Female,Accessories,Wallet,161.59,Spring,Card,3.4,22,6
C-5248,36,Male,Footwear,Sneakers,110.06,Spring,Card,3.9,19,7
C-5249,59,Female,Accessories,Handbag,145.44,Summer,Card,4.5,22,6
C-5250,20,Male,Mens Clothing,Jeans,99.49,Autumn,Cash on Delivery,3.8,18,9
C-5251,46,Female,Beauty,Skincare Kit,116.53,Winter,Card,4.2,12,6
C-5252,68,Male,Mens Clothing,Jacket,170.91,Winter,Card,3.8,14,7
C-5253,66,Male,Sports,Yoga Mat,111.58,Autumn,Card,3.4,21,8
C-5254,70,Female,Home,Kitchen Set,96.25,Autumn,Cash on Delivery,2.9,14,2
C-5255,43,Female,Beauty,Perfume,118,Winter,Card,4.1,12,6
C-5256,67,Male,Electronics,Laptop,1597.74,Summer,Card,5,30,10
C-5257,48,Male,Mens Clothing,T-Shirt,179.87,Summer,Card,3.7,17,6
C-5258,38,Female,Accessories,Sunglasses,22.14,Autumn,Cash on Delivery,4.7,9,2
C-5259,41,Female,Beauty,Perfume,28.65,Summer,Card,2.3,8,4
C-5260,33,Female,Accessories,Wallet,79.92,Summer,Cash on Delivery,4.2,14,2
C-5261,21,Female,Beauty,Perfume,124.58,Summer,Card,4.3,19,7
C-5262,26,Female,Home,Lamp,72.84,Summer,Card,3.1,14,7
C-5263,35,Female,Beauty,Skincare Kit,47.94,Spring,Card,3.6,13,4
C-5264,51,Male,Mens Clothing,Shirt,74.89,Spring,Cash on Delivery,3.2,22,6
C-5265,58,Male,Sports,Dumbbells,246.24,Winter,Card,3.5,12,6
C-5266,65,Female,Beauty,Makeup Set,135.46,Autumn,Card,4.3,24,7
C-5267,31,Male,Footwear,Sneakers,220.18,Spring,Card,3.4,6,3
C-5268,67,Male,Mens Clothing,Jacket,159.94,Winter,Card,4.5,10,5
C-5269,29,Male,Electronics,Laptop,2391.83,Winter,Card,3.4,14,7
C-5270,31,Female,Beauty,Makeup Set,112.96,Autumn,Card,5,13,4
C-5271,42,Male,Groceries,Snacks,56.82,Spring,Card,5,17,6
C-5272,33,Female,Groceries,Snacks,17.86,Autumn,Cash on Delivery,3.7,30,10
C-5273,59,Male,Groceries,Beverages,22.31,Spring,Card,3.9,28,9
C-5274,36,Male,Electronics,Smart Watch,2851.93,Autumn,Card,3.4,8,4
C-5275,61,Female,Womens Clothing,Skirt,164.2,Autumn,Card,3.6,11,3
C-5276,22,Male,Sports,Dumbbells,204.62,Autumn,Card,3.3,16,3
C-5277,68,Female,Footwear,Sneakers,75.72,Spring,Cash on Delivery,4.3,20,5
C-5278,24,Female,Footwear,Formal Shoes,105.45,Summer,Card,2.3,5,0
C-5279,36,Male,Footwear,Formal Shoes,212.7,Autumn,Card,4,18,4
C-5280,28,Female,Accessories,Handbag,98.3,Autumn,Card,3.3,24,7
C-5281,59,Male,Electronics,Laptop,1775.37,Winter,Card,3.2,16,8
C-5282,53,Female,Beauty,Makeup Set,146.09,Summer,Card,3.2,10,5
C-5283,50,Male,Mens Clothing,T-Shirt,144.37,Winter,Card,4.6,8,4
C-5284,39,Female,Womens Clothing,Jeans,107.92,Autumn,Card,4.9,13,4
C-5285,27,Male,Footwear,Sneakers,138.29,Summer,Card,3.6,14,7
C-5286,40,Female,Accessories,Handbag,101.69,Winter,Card,5,10,5
C-5287,28,Female,Footwear,Sandals,198.28,Autumn,Card,3.6,20,5
C-5288,61,Female,Sports,Dumbbells,171.59,Winter,Card,3,16,8
C-5289,54,Male,Electronics,Laptop,2903.73,Spring,Card,3.7,30,10
C-5290,51,Male,Footwear,Formal Shoes,206.84,Summer,Card,2.2,8,4
C-5291,31,Female,Womens Clothing,Jeans,63.74,Autumn,Cash on Delivery,3.7,8,4
C-5292,61,Male,Sports,Yoga Mat,64.87,Summer,Cash on Delivery,1.8,22,6
C-5293,50,Female,Accessories,Sunglasses,67.82,Spring,Card,2.5,14,7
C-5294,65,Female,Beauty,Skincare Kit,95.87,Autumn,Card,4,14,2
C-5295,46,Female,Sports,Yoga Mat,142.71,Spring,Card,3.2,10,5
C-5296,48,Male,Home,Lamp,218.92,Winter,Card,3.7,21,8
C-5297,58,Male,Sports,Dumbbells,57.47,Winter,Card,2.5,2,1
C-5298,20,Male,Mens Clothing,Jeans,170,Spring,Card,3.6,12,6
C-5299,36,Female,Womens Clothing,Skirt,67.61,Spring,Cash on Delivery,3.8,19,7
C-5300,66,Male,Mens Clothing,Jeans,141.21,Summer,Card,3.4,22,6
C-5301,66,Female,Accessories,Sunglasses,57.04,Autumn,Cash on Delivery,3.5,18,4
C-5302,32,Female,Womens Clothing,Dress,41.92,Autumn,Cash on Delivery,3.5,8,4
C-5303,51,Male,Footwear,Formal Shoes,106.72,Autumn,Card,2.8,18,4
C-5304,54,Female,Womens Clothing,Top,145.16,Summer,Card,3.1,14,7
C-5305,25,Female,Accessories,Wallet,102.26,Autumn,Card,4.2,16,3
C-5306,23,Male,Electronics,Headphones,1364.52,Spring,Card,4.6,24,7
C-5307,52,Female,Groceries,Rice Pack,18.59,Spring,Cash on Delivery,2.5,10,5
C-5308,61,Male,Mens Clothing,Jacket,166.84,Summer,Card,5,9,2
C-5309,30,Male,Mens Clothing,Shirt,81.78,Summer,Card,2.4,11,3
C-5310,45,Female,Sports,Dumbbells,80.77,Summer,Card,4.6,11,3
C-5311,46,Male,Footwear,Sandals,118.69,Summer,Card,2.7,10,5
C-5312,35,Female,Beauty,Skincare Kit,77.47,Summer,Card,4.3,8,4
C-5313,48,Female,Accessories,Wallet,85.35,Spring,Card,4.3,4,2
C-5314,48,Female,Footwear,Sandals,102.43,Spring,Card,3.6,24,7
C-5315,30,Male,Groceries,Beverages,11.09,Autumn,Cash on Delivery,2.8,23,9
C-5316,43,Male,Sports,Yoga Mat,30.29,Summer,Cash on Delivery,2.4,16,3
C-5317,69,Female,Groceries,Snacks,79.4,Winter,Card,3.4,15,5
C-5318,22,Female,Sports,Football,237.38,Spring,Card,3.4,7,1
C-5319,39,Female,Groceries,Cooking Oil,56.93,Summer,Card,4.4,8,4
C-5320,60,Female,Womens Clothing,Dress,187.91,Spring,Card,3.8,4,2
C-5321,67,Female,Womens Clothing,Dress,144.38,Spring,Card,3.4,24,7
C-5322,56,Female,Home,Curtains,139.78,Spring,Card,3.9,19,7
C-5323,22,Male,Sports,Dumbbells,232.96,Summer,Card,4.1,6,3
C-5324,65,Female,Beauty,Skincare Kit,79.89,Autumn,Card,5,24,7
C-5325,38,Female,Sports,Football,240.47,Autumn,Card,3.4,8,4
C-5326,42,Female,Sports,Yoga Mat,124.92,Autumn,Card,2.2,21,8
C-5327,48,Female,Sports,Dumbbells,174.99,Winter,Card,4.4,18,4
C-5328,32,Female,Footwear,Sandals,169.59,Summer,Card,4.8,13,4
C-5329,62,Male,Sports,Dumbbells,212.29,Spring,Card,5,11,3
C-5330,57,Male,Electronics,Headphones,2524.81,Autumn,Card,3.8,17,6
C-5331,62,Male,Mens Clothing,Shirt,83.68,Spring,Cash on Delivery,2.9,10,5
C-5332,60,Male,Mens Clothing,T-Shirt,128.55,Spring,Card,4.6,18,4
C-5333,47,Male,Home,Curtains,284.08,Autumn,Card,3.3,16,3
C-5334,57,Female,Womens Clothing,Skirt,140.29,Autumn,Card,5,12,6
